,City_Name,Lat,Lon,Max_Temp,Humidity,Clouds,Wind_Speed,Country,Date
358,Lorengau,-2.02,147.27,84.69,72,2,7.47,PG,1598572735
359,Arona,28.1,-16.68,86.0,58,0,8.05,ES,1598572735
360,Tautira,-17.73,-149.15,84.2,62,75,6.93,PF,1598572516
361,Emerald,-23.53,148.17,66.99,59,0,8.05,AU,1598572735
362,Cap Malheureux,-19.98,57.61,69.01,80,62,3.0,MU,1598572735
363,Le Port,-20.94,55.29,69.8,77,90,11.41,RE,1598572712
364,Tigzirt,36.89,4.12,77.5,48,1,5.26,DZ,1598572736
365,Husavik,66.04,-17.34,48.2,76,75,16.11,IS,1598572736
366,Dingle,11.0,122.67,80.74,77,98,4.9,PH,1598572736
367,Lazarev,52.23,141.51,57.65,86,100,17.02,RU,1598572736
368,Riyadh,24.69,46.72,82.4,30,0,4.59,SA,1598572478
369,Paphos,34.77,32.42,71.6,78,20,4.7,CY,1598572736
